Paper	Intervention	Outcome	Efficacy	eNNT	GRADE	AMSTAR	k	Design	Age	BD_stage	Comparison	Comparison_type	TE	seTE	Rank	Meta_review	invTE	TE_lo	TE_up	Intervention_acro	Comparison_acro	Outcome_acro
"<a href='https://doi.org/10.1016/j.jad.2020.03.030
' target=""_blank"">Bahji A. (2020)</a>"	fluoxetine (mono)	Discontinuation, due to any cause (Acceptability)	"eSMD=0.42 [-0.14, 0.95] <br> <img src=""https://www.linkpicture.com/q/Diapositive15.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=4.28	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo (mono)	mono	0.42	0.28	III (Low)	Bahji A. (2020)	-0.42	-0.14	0.95	fluo	pbo	Acceptability
"<a href='https://doi.org/10.1016/j.jad.2020.03.030
' target=""_blank"">Bahji A. (2020)</a>"	carbamazepine (mono)	Discontinuation, due to any cause (Acceptability)	"eSMD=0.34 [-0.25, 0.95] <br> <img src=""https://www.linkpicture.com/q/Diapositive14.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=5.26	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo (mono)	mono	0.34	0.31	III (Low)	Bahji A. (2020)	-0.34	-0.25	0.95	cbz	pbo	Acceptability
"<a href='https://doi.org/10.1016/j.jad.2020.03.030
' target=""_blank"">Bahji A. (2020)</a>"	escitalopram (mono)	Discontinuation, due to any cause (Acceptability)	"eSMD=0.28 [-1.47, 1.93] <br> <img src=""https://www.linkpicture.com/q/Diapositive14.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=6.37	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo (mono)	mono	0.28	0.87	III (Low)	Bahji A. (2020)	-0.28	-1.47	1.93	escit	pbo	Acceptability
"<a href='https://doi.org/10.1016/j.jad.2020.03.030
' target=""_blank"">Bahji A. (2020)</a>"	imipramine (mono)	Discontinuation, due to any cause (Acceptability)	"eSMD=0.21 [-0.35, 0.76] <br> <img src=""https://www.linkpicture.com/q/Diapositive13.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=8.47	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo (mono)	mono	0.21	0.28	III (Low)	Bahji A. (2020)	-0.21	-0.35	0.76	imp	pbo	Acceptability
"<a href='https://doi.org/10.1016/j.jad.2020.03.030
' target=""_blank"">Bahji A. (2020)</a>"	olanzapine+fluoxetine (combo)	Discontinuation, due to any cause (Acceptability)	"eSMD=0.17 [-0.03, 0.37] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=10.45	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo (mono)	mono	0.17	0.1	III (Low)	Bahji A. (2020)	-0.17	-0.03	0.37	ola+fluo	pbo	Acceptability
"<a href='https://doi.org/10.1016/j.jad.2020.03.030
' target=""_blank"">Bahji A. (2020)</a>"	ziprasidone (mono)	Discontinuation, due to any cause (Acceptability)	"eSMD=0.14 [-0.65, 0.92] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=12.68	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo (mono)	mono	0.14	0.4	III (Low)	Bahji A. (2020)	-0.14	-0.65	0.92	zip	pbo	Acceptability
"<a href='https://doi.org/10.1016/j.jad.2020.03.030
' target=""_blank"">Bahji A. (2020)</a>"	olanzapine (mono)	Discontinuation, due to any cause (Acceptability)	"eSMD=0.12 [-0.06, 0.31] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=14.79	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo (mono)	mono	0.12	0.09	III (Low)	Bahji A. (2020)	-0.12	-0.06	0.31	ola	pbo	Acceptability
"<a href='https://doi.org/10.1016/j.jad.2020.03.030
' target=""_blank"">Bahji A. (2020)</a>"	lithium (mono)	Discontinuation, due to any cause (Acceptability)	"eSMD=0.08 [-0.23, 0.38] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=22.17	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo (mono)	mono	0.08	0.16	III (Low)	Bahji A. (2020)	-0.08	-0.23	0.38	lit	pbo	Acceptability
"<a href='https://doi.org/10.1016/j.jad.2020.03.030
' target=""_blank"">Bahji A. (2020)</a>"	quetiapine (mono)	Discontinuation, due to any cause (Acceptability)	"eSMD=0.07 [-0.04, 0.18] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=25.33	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo (mono)	mono	0.07	0.06	III (Low)	Bahji A. (2020)	-0.07	-0.04	0.18	que	pbo	Acceptability
"<a href='https://doi.org/10.1016/j.jad.2020.03.030
' target=""_blank"">Bahji A. (2020)</a>"	divalproate (mono)	Discontinuation, due to any cause (Acceptability)	"eSMD=0.06 [-0.33, 0.45] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=29.55	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo (mono)	mono	0.06	0.2	III (Low)	Bahji A. (2020)	-0.06	-0.33	0.45	div	pbo	Acceptability
"<a href='https://doi.org/10.1016/j.jad.2020.03.030
' target=""_blank"">Bahji A. (2020)</a>"	lamotrigine (mono)	Discontinuation, due to any cause (Acceptability)	"eSMD=0.03 [-0.12, 0.18] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=59.09	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	46	Network meta-analysis	Mixed (Children-Adults)	Bipolar Depression	placebo (mono)	mono	0.03	0.08	III (Low)	Bahji A. (2020)	-0.03	-0.12	0.18	lam	pbo	Acceptability
